#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T03:02:28 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T03:02:28	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJ/842/133&-out.max=unlimited&-out.all	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_18420133
#Name: J/ApJ/842/133
#Title: HI-bearing ultra-diffuse ALFALFA galaxies (Leisman+, 2017)
#INFO	ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apj/842/133	    IVOID of underlying data collection
#INFO	creator=Leisman L.	    First author or institution
#INFO	cites=bibcode:2017ApJ...842..133L	    Article or Data origin sources
#INFO	journal=ApJ	    Journal name
#INFO	original_date=2017	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJ/842/133	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.18420133	    Dataset identifier that can be used for citation
#INFO	publication_date=2018-05-16	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJ_842_133_table1:
#Name: J/ApJ/842/133/table1
#Title: Properties of HI-bearing ultra-diffuse ALFALFA sources (HUDS)
#Column	recno	(I8)	Record number assigned by the VizieR team. Should Not be used for identification.	[ucd=meta.record]
#Column	AGC	(I6)	[102791/749488] Arecibo General Catalog ID	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F8.4)	Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F8.4)	Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	cz	(I4)	[1796/8416] Recessional velocity	[ucd=phys.veloc]
#Column	W50	(I3)	[19/215] Width of the HI line measured at the 50% flux level, corrected for channel broadening	[ucd=spect.line.width;em.line.HI]
#Column	e_W50	(I2)	[2/59] W50 error	[ucd=stat.error]
#Column	SdV	(F5.2)	[0.3/3.5] HI line flux density	[ucd=phot.flux]
#Column	e_SdV	(F5.2)	[0.02/0.1] Flux density error	[ucd=stat.error]
#Column	Dist	(I3)	[28/120] Distance from ALFALFA flow model (1)	[ucd=pos.distance;pos.heliocentric]
#Column	logMHI	(F5.2)	[7.9/9.5] HI mass	[ucd=phys.mass]
#Column	e_logMHI	(F5.2)	[0.05/0.2] HI mass error (1)	[ucd=stat.error]
#Column	mug0	(F5.2)	[23/25.4] g-band central surface brightness (2)	[ucd=phot.mag.sb]
#Column	e_mug0	(F5.2)	[0.1/0.4] g-band central SB error	[ucd=stat.error]
#Column	rh	(F4.1)	[1.6/8] Half light radius	[ucd=phys]
#Column	e_rh	(F4.1)	[0.2/3.3] Half light radius error (1)	[ucd=stat.error]
#Column	gMAG	(F5.1)	[-17.1/-13.9] g-band absolute magnitude (3)	[ucd=phys.magAbs]
#Column	e_gMAG	(F4.1)	[0.3/1.1] gMAG error (1)	[ucd=stat.error]
#Column	g-r	(F5.2)	[-0.2/0.9] g minus r color index (2)	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	e_g-r	(F5.2)	[0.1/2] g-r color error	[ucd=stat.error;phot.color;em.opt.B]
#Column	Ag	(F5.2)	[0.05/0.8] g band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Ar	(F5.2)	[0.03/0.6] r band galactic extinction (4)	[ucd=phys.absorption.gal]
#Column	Set	(A1)	Broad (B) or Restrictive (R) Sample	[ucd=meta.code]
#Column	H11	(I3)	Display ALFALFA data from Haynes+, 2011, J/AJ/142/170 within 30"	[ucd=meta.ref.url]
#Column	Sloan	(a5)	Display the online SDSS data for the nearest object	[ucd=meta.ref.url]
#Column	Simbad	(a6)	Simbad column added by the CDS	[ucd=meta.ref.url]
#Column	NED	(A3)	NED column added by the CDS	[ucd=meta.ref.url]
recno	AGC	RAJ2000	DEJ2000	cz	W50	e_W50	SdV	e_SdV	Dist	logMHI	e_logMHI	mug0	e_mug0	rh	e_rh	gMAG	e_gMAG	g-r	e_g-r	Ag	Ar	Set	H11	Sloan	Simbad	NED
 	 	deg	deg	km/s	km/s	km/s	Jy.km/s	Jy.km/s	Mpc	[Msun]	[Msun]	mag/arcsec2	mag/arcsec2	kpc	kpc	mag	mag	mag	mag	mag	mag	 	 	 	 	
--------	------	--------	--------	----	---	--	-----	-----	---	-----	-----	-----	-----	----	----	-----	----	-----	-----	-----	-----	-	---	-----	------	---
       1	322019	344.6121	+01.8497	4819	 33	14	 0.54	 0.07	 72	 8.81	 0.08	24.62	 0.18	 3.9	 1.0	-15.8	 0.7	 0.36	 0.25	 0.33	 0.24	R	  0	Sloan	Simbad	NED
       2	103796	005.1650	+06.9658	5647	 31	 7	 0.48	 0.04	 80	 8.86	 0.06	24.23	 0.14	 3.9	 0.7	-16.2	 0.5	 0.47	 0.21	 0.20	 0.14	R	  0	Sloan	Simbad	NED
       3	113790	018.2587	+27.6369	4952	 31	10	 0.33	 0.03	 69	 8.57	 0.07	24.31	 0.14	 2.9	 0.6	-15.4	 0.5	 0.42	 0.19	 0.18	 0.13	R	  0	Sloan	Simbad	NED
       4	114905	021.3271	+07.3603	5435	 27	 3	 0.96	 0.04	 76	 9.11	 0.06	24.85	 0.19	 5.1	 1.5	-16.2	 0.8	 0.53	 0.25	 0.49	 0.36	R	  0	Sloan	Simbad	NED
       5	114943	026.7775	+07.3311	8416	 32	 7	 0.40	 0.04	116	 9.10	 0.06	24.48	 0.18	 4.8	 1.2	-16.4	 0.7	 0.36	 0.28	 0.26	 0.19	R	  0	Sloan	Simbad	NED
       6	113949	027.4108	+30.6808	7380	 44	 7	 0.44	 0.05	102	 9.03	 0.07	24.29	 0.18	 3.4	 0.8	-15.8	 0.7	 0.53	 0.28	 0.38	 0.27	R	  1	Sloan	Simbad	NED
       7	122966	032.3708	+31.8528	6518	 35	 6	 0.53	 0.04	 90	 9.00	 0.06	25.37	 0.23	 7.4	 3.3	-16.4	 1.1	 0.38	 0.41	 0.20	 0.14	R	  1	Sloan	Simbad	NED
       8	749376	119.5371	+25.8306	4743	 33	 7	 0.41	 0.04	 69	 8.66	 0.08	24.25	 0.18	 2.3	 0.5	-15.0	 0.6	 0.64	 0.24	 0.74	 0.53	R	  0	Sloan	Simbad	NED
       9	749290	139.0046	+26.6497	6510	 39	12	 0.40	 0.04	 97	 8.95	 0.06	24.12	 0.16	 3.3	 0.7	-16.0	 0.6	-0.01	 0.24	 0.33	 0.24	R	  1	Sloan	Simbad	NED
      10	198452	139.1729	+06.4353	5619	 63	21	 0.56	 0.05	 83	 8.96	 0.06	24.30	 0.14	 4.7	 0.8	-16.5	 0.5	 0.20	 0.20	 0.32	 0.23	R	  1	Sloan	Simbad	NED
      11	749401	141.0862	+25.6611	2750	 75	 3	 1.71	 0.05	 41	 8.84	 0.11	24.44	 0.13	 4.0	 0.9	-16.0	 0.5	 0.29	 0.19	 0.33	 0.24	R	  1	Sloan	Simbad	NED
      12	198596	147.0300	+16.2606	3797	 48	 5	 0.62	 0.04	 57	 8.68	 0.08	24.80	 0.17	 5.8	 1.8	-16.5	 0.8	 0.28	 0.25	 0.22	 0.16	R	  0	Sloan	Simbad	NED
      13	193841	149.1125	+10.9056	5421	 51	 5	 0.58	 0.05	 80	 8.94	 0.07	25.15	 0.22	 4.5	 1.7	-15.6	 0.9	 0.68	 0.31	 0.31	 0.22	R	  1	Sloan	Simbad	NED
      14	208769	162.4729	+21.6383	5930	 57	12	 0.57	 0.04	 89	 9.03	 0.06	24.68	 0.17	 4.3	 1.1	-16.0	 0.7	 0.67	 0.26	 0.16	 0.11	R	  0	Sloan	Simbad	NED
      15	238764	204.9062	+06.9961	7001	 38	 8	 0.46	 0.04	104	 9.07	 0.06	24.57	 0.17	 4.3	 1.1	-16.1	 0.7	 0.02	 0.34	 0.19	 0.14	R	  0	Sloan	Simbad	NED
      16	232008	209.4404	+07.8356	4394	 30	 3	 1.10	 0.04	 65	 9.04	 0.07	24.40	 0.15	 5.1	 1.1	-16.6	 0.6	 0.25	 0.21	 0.13	 0.10	R	  1	Sloan	Simbad	NED
      17	249428	217.7967	+00.9519	4070	 40	 5	 0.63	 0.05	 60	 8.72	 0.08	24.22	 0.33	 2.9	 0.6	-15.6	 0.6	 0.30	 1.92	 0.09	 0.06	R	  0	Sloan	Simbad	NED
