# MEASURED velocity dispersion profiles of Galactic globular clusters (line-of-sight RV and proper-motion bins).
# Source: https://people.smp.uq.edu.au/HolgerBaumgardt/globular/veldis.html   Retrieved 2026-09-03.
# Radius is in arcsec.  Type RV = line-of-sight radial velocities.  These are the DATA, not model curves.
ClusterName	R[arcsec]	N_star	sigma[km/s]	dsigma_up	dsigma_low	Type
Ter 9	46.85	40	4.96	0.67	0.55	RV
Ter 9	58.80	70	7.42	0.99	0.87	VB21
Ter 10	45.62	12	7.06	1.87	1.35	RV
Ter 10	77.53	58	6.43	1.43	1.24	VB21
Ter 12	32.39	15	2.22	0.66	0.52	RV
Ter 12	36.15	70	4.51	0.80	0.72	VB21
Ter 12	76.14	70	3.21	0.93	0.83	VB21
Ter 12	122.54	58	3.64	0.82	0.73	VB21
Ton 2	69.55	23	2.39	0.45	0.35	RV
Ton 2	71.82	135	2.97	0.47	0.45	VB21
Ton 2	134.66	37	2.90	0.84	0.76	VB21
UKS 1	10.34	5	7.03	3.40	2.10	RV
VVV-CL001	6.16		7.14	1.39	1.39	C22
VVV-CL001	15.27		7.20	1.59	1.59	C22
VVV-CL001	21.10	18	7.10	3.53	3.27	VB21
VVV-CL001	30.42		5.14	1.10	1.10	C22
