A267   | 28.1762|01.0125|0.2291| 4.16|BCS | 972| 63|53|226
Zw1478 |119.9190|53.9990|0.1027| 0.64|BCS | 479| 66|46| 82
A646   |125.5470|47.1000|0.1273| 1.22|BCS | 653| 66|51|264
A655   |126.3610|47.1320|0.1271| 1.91|BCS | 777| 58|47|315
A667   |127.0190|44.7640|0.1452| 1.32|BCS | 645| 80|58|148
A689   |129.3560|14.9830|0.2789| 9.62|BCS | 589| 91|62|163
A697   |130.7362|36.3625|0.2812| 5.15|BCS |1002| 97|75|185
A750   |137.2469|11.0444|0.1640|     |BCS*| 681| 56|45|225
MS0906 |137.2832|10.9925|0.1767| 3.23|BCS | 664| 87|62|101
A773   |139.4624|51.7248|0.2173| 3.98|BCS |1110| 86|70|173
A795   |141.0240|14.1680|0.1374| 1.65|BCS | 778| 61|50|179
Zw2701 |148.1980|51.8910|0.2160| 3.30|BCS | 652| 74|55| 93
A963   |154.2600|39.0484|0.2041| 3.07|BCS | 956| 80|64|211
A980   |155.6275|50.1017|0.1555| 2.06|BCS |1033| 72|59|222
Zw3146 |155.9117|04.1865|0.2894| 8.38|BCS | 858|103|75|106
A990   |155.9120|49.1450|0.1416| 2.13|BCS | 655| 82|60| 91
Zw3179 |156.4840|12.6910|0.1422| 1.34|BCS | 541|122|73| 69
A1033  |157.9320|35.0580|0.1220| 1.35|BCS | 677| 55|44|191
A1068  |160.1870|39.9510|0.1386| 2.18|BCS |1028|106|81|129
A1132  |164.6160|56.7820|0.1351| 1.92|BCS | 749| 80|61|160
A1201  |168.2287|13.4448|0.1671| 1.79|BCS | 683| 68|53|165
A1204  |168.3324|17.5937|0.1706| 2.13|BCS | 532| 62|46| 92
A1235  |170.8040|19.6160|0.1030| 0.65|BCS | 584| 62|47|131
A1246  |170.9912|21.4903|0.1921| 2.31|BCS | 906| 70|57|226
A1302  |173.3070|66.3990|0.1152| 0.84|BCS | 650| 62|48|162
A1361  |175.9170|46.3740|0.1159| 0.99|BCS | 512| 64|47|195
A1366  |176.2020|67.4130|0.1160| 1.08|BCS | 616| 62|48|200
A1413  |178.8260|23.4080|0.1412| 3.71|BCS | 856| 90|68|116
A1423  |179.3420|33.6320|0.2142| 3.07|BCS | 759| 64|51|230
A1437  |180.1040|03.3490|0.1333| 2.12|BCS |1233|102|81|194
A1553  |187.6959|10.5606|0.1668| 2.17|BCS | 867| 62|51|171
A1682  |196.7278|46.5560|0.2272| 3.48|BCS | 996| 80|65|151
A1689  |197.8750|-1.3353|0.1842| 7.06|REF |1197| 78|65|210
A1758  |203.1796|50.5496|0.2760| 5.82|BCS | 674| 99|69|143
A1763  |203.8257|40.9970|0.2312| 4.72|BCS |1261| 81|68|237
A1835  |210.2595|02.8801|0.2506|11.77|BCS |1151| 80|66|219
A1902  |215.4226|37.2958|0.1623| 1.67|BCS | 784| 71|56|130
A1918  |216.3420|63.1830|0.1388| 1.17|BCS | 545| 76|54| 80
A1914  |216.5068|37.8271|0.1660| 5.03|BCS | 798| 53|44|255
A1930  |218.1200|31.6330|0.1308| 1.15|BCS | 577| 75|54| 76
A1978  |222.7750|14.6110|0.1459| 1.29|BCS | 404| 95|56| 63
A2009  |225.0850|21.3620|0.1522| 2.60|BCS | 715| 57|46|195
RXJ1504|226.0321|-2.8050|0.2168|14.12|REF | 779|105|75|120
A2034  |227.5450|33.5060|0.1132| 1.92|BCS | 942| 64|53|182
A2050  |229.0680|00.0890|0.1191| 1.18|BCS | 869| 77|61|106
A2055  |229.6720|06.2110|0.1023| 1.34|BCS | 676| 90|64|230
A2069  |231.0410|29.9210|0.1139| 2.46|BCS | 994| 61|52|441
A2111  |234.9337|34.4156|0.2291| 3.35|BCS | 741| 65|52|208
A2187  |246.0591|41.2383|0.1829| 1.56|eBCS| 631| 83|59|103
A2219  |250.0892|46.7058|0.2257| 6.10|BCS |1151| 63|54|461
Zw8197 |259.5480|56.6710|0.1132| 0.80|BCS | 597| 73|53| 76
A2259  |260.0370|27.6702|0.1605| 1.85|BCS | 855| 76|60|165
RXJ1720|260.0370|26.6350|0.1604| 4.47|BCS | 860| 40|35|376
A2261  |260.6129|32.1338|0.2242| 5.55|BCS | 780| 78|60|209
RXJ2129|322.4186|00.0973|0.2339| 5.65|BCS | 858| 71|57|325
A2396  |328.9198|12.5336|0.1919| 1.86|eBCS| 935| 90|70|176
A2631  |354.4206|00.2760|0.2765| 4.15|eBCS| 851| 96|72|173
A2645  |355.3200|-9.0275|0.2509| 2.85|REF | 549| 78|55| 61
