#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:49 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:49	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=UPK_34	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
UPK_34              	4259692046743711232	1	1	 0.821435919917712587	278.9052526	-2.00440285	   -2.26379648	0.09974650	   -2.99556473	0.08482523	 2.1240e-01	   1.15445010	0.10921544	 0.98200107	0	 17.166227	  2.875587	            	            	  1.45779091	  1.38320646	  1.52548086
UPK_34              	4271675692653187712	1	1	 0.904628928235836294	278.7126127	-2.10344559	   -2.02133978	0.08130676	   -3.01135450	0.07571247	 3.4899e-01	   1.05634351	0.07624759	 0.99902050	0	 17.162224	  2.272999	            	            	  1.45922577	  1.38382362	  1.52655329
UPK_34              	4271676306829269376	1	1	 0.755264104785464463	278.7463636	-2.06024802	   -1.79266073	0.24665469	   -3.22080418	0.23057510	 3.7269e-01	   1.07165350	0.23089210	 1.01397940	0	 18.831625	  2.600670	            	            	  1.03312382	  0.99230422	  1.07565508
UPK_34              	4271678127895359872	1	1	 0.793382600003567195	278.5975375	-2.09946698	   -2.25750147	0.06286211	   -3.14327888	0.06146993	 3.5649e-01	   1.25470385	0.06241006	 0.93184170	0	 16.670986	  2.606330	            	            	  1.64475687	  1.52674264	  1.71549691
UPK_34              	4271679811522596864	1	1	 1.000000000000000000	278.6398714	-2.05071519	   -2.19823845	0.10357390	   -3.26206283	0.10007507	 3.5323e-01	   1.10742357	0.09798896	 0.97814286	0	 17.613497	  2.519070	            	            	  1.32180528	  1.25669398	  1.37356432
UPK_34              	4271680709175156224	1	1	 1.000000000000000000	278.6579758	-1.98499602	   -2.24609879	0.06471678	   -3.27170215	0.06189940	 8.1199e-02	   1.19171272	0.06602083	 0.96237890	0	 16.499039	  3.206549	            	            	  1.72388564	  1.59208909	  1.80693703
UPK_34              	4271680979754132736	1	1	 1.000000000000000000	278.5977725	-2.00824774	   -2.18502605	0.20128928	   -3.22504873	0.19061139	 4.2777e-01	   1.04645684	0.16849953	 0.95174040	0	 18.529800	  3.099085	            	            	  1.09796038	  1.05477162	  1.14406160
UPK_34              	4271684969782799872	1	1	 0.802184909612691621	278.3667436	-2.07889424	   -2.13202169	0.05127891	   -3.26142761	0.04731705	 2.7117e-01	   1.12039222	0.04523254	 1.02193640	0	 16.132647	  2.296228	            	            	  1.90752835	  1.75765789	  2.04797681
UPK_34              	4271684999845170816	1	1	 0.885950333562492642	278.4001478	-2.08277732	   -2.06619114	0.32535905	   -3.24239385	0.30444303	 4.8301e-01	   1.08346642	0.28146450	 1.04873930	0	 19.236110	  2.742826	            	            	  0.95382527	  0.90808400	  0.98339861
UPK_34              	4271693456638151040	1	1	 1.000000000000000000	278.5516034	-1.96141676	   -2.36279527	0.03361472	   -3.05804310	0.02763954	 2.7303e-01	   1.19928800	0.03147359	 0.95034450	0	 15.159719	  2.241118	  -36.529110	    7.907662	  2.50273526	  2.24794850	  2.85256719
UPK_34              	4271693490997888896	1	1	 1.000000000000000000	278.5728625	-1.94344382	   -2.19804560	0.07011654	   -3.03040014	0.05923960	 2.8533e-01	   1.08015861	0.06524128	 0.97969710	0	 16.751625	  2.778051	            	            	  1.61149101	  1.49737345	  1.67664670
UPK_34              	4271693765875821696	1	1	 1.000000000000000000	278.5410744	-1.92687267	   -2.18637179	0.12830496	   -2.98591513	0.11860048	 3.9392e-01	   1.06074586	0.11797059	 1.02709810	0	 17.767553	  2.818785	            	            	  1.27993574	  1.21688233	  1.33092537
UPK_34              	4271694418710885120	1	1	 0.836582925020112556	278.4687952	-1.92802720	   -2.21610955	0.05568469	   -3.33697819	0.05005458	 1.7473e-01	   1.21771298	0.06451705	 1.00712420	0	 16.406141	  2.377208	            	            	  1.77020240	  1.64184287	  1.87055904
UPK_34              	4271694899743743360	1	1	 0.837749613342897104	278.5198819	-1.89717732	   -1.75033032	0.10582445	   -2.94718841	0.09340545	 2.2728e-01	   1.09569263	0.11697151	 1.00271330	0	 17.520218	  2.883610	            	            	  1.34789737	  1.28178536	  1.40065039
UPK_34              	4271703111724515968	1	1	 0.871513692057881206	278.8079998	-1.92893490	   -1.82779532	0.03166205	   -2.68337537	0.02804608	 1.1057e-01	   1.14666083	0.03299016	 1.00865890	0	 15.247875	  2.156660	  -65.502810	    7.840875	  2.44142496	  2.21553287	  2.77821056
