#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:26:01 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:26:01	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=Theia_123	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
Theia_123           	 492637078180058240	0	0	 0.398872219742282652	51.38549027	+67.1851449	    0.66088019	0.15011883	   -7.85807070	0.21727139	-2.3102e-01	   2.26939966	0.24113582	 1.02917580	0	 19.327880	  2.993353	            	            	  0.40320307	  0.38443321	  0.42349472
Theia_123           	 492938825402688256	0	0	 0.398886816684143108	48.38982522	+67.7429321	    0.95900825	0.15214187	   -8.23567442	0.22405866	-2.1919e-01	   2.25169440	0.21131827	 1.00841590	0	 19.336275	  3.128954	            	            	  0.40231852	  0.38330862	  0.42220723
Theia_123           	 516781425812086656	1	0	 0.412309911283117780	42.00759684	+67.7362844	    1.56048253	0.08633854	   -7.48209832	0.12050059	-3.4859e-01	   2.20422411	0.11355899	 0.97599363	0	 18.131502	  2.939066	            	            	  0.53679374	  0.51779040	  0.55496944
Theia_123           	 517508963210312832	0	0	 0.427358560397842868	40.97299872	+67.6999796	    1.57471040	0.00940483	   -8.21553761	0.01454584	-3.2557e-01	   2.30051510	0.01389322	 0.91054100	0	 13.473507	  1.698504	    6.415240	    6.032097	  1.20361394	  1.15738295	  1.24486293
Theia_123           	 517531262680486272	0	1	 0.536903027339443728	41.42442571	+67.8217428	    1.69666825	0.01108294	   -7.87221757	0.01571922	-2.1937e-01	   2.31176837	0.01670969	 0.98361020	0	 11.388589	  0.992920	  -10.155959	    4.981158	  1.89739269	  1.80362225	  2.01584700
Theia_123           	 517611836266641664	1	1	 0.569934539632281689	40.54587372	+68.3215353	    1.95859845	0.04511346	   -7.91875791	0.06079978	-3.0260e-01	   2.27722647	0.06278675	 2.23783140	0	 15.596664	  1.990390	            	            	  0.81507751	  0.78962272	  0.84225640
Theia_123           	 517619086171256960	0	0	 0.420270712669689905	40.15843818	+68.3523126	    1.67075972	0.06993487	   -7.83619675	0.10158419	-2.4021e-01	   2.38804993	0.08522113	 1.01358090	0	 17.581156	  2.712408	            	            	  0.59177368	  0.56060025	  0.60862442
Theia_123           	 517625919461547904	1	1	 0.596045303568341511	40.62236085	+68.4237168	    1.50556625	0.01741880	   -8.02223773	0.02211658	-4.0610e-01	   2.29855748	0.02176601	 1.06094050	0	 14.735172	  1.566593	   -7.650910	    6.932450	  0.95276939	  0.92156703	  0.98578714
Theia_123           	 517887397070292608	0	0	 0.454377302177237097	38.63778709	+69.0095311	    2.00250491	0.17867714	   -7.65386278	0.24493897	-3.5320e-01	   2.32215842	0.25055550	 1.01995270	0	 19.216682	  3.032747	            	            	  0.41656432	  0.39931179	  0.43849083
Theia_123           	 517895196731092992	0	0	 0.452334987169312641	39.11438532	+69.1619933	    1.74214148	0.01011187	   -7.67869050	0.01349006	-3.4585e-01	   2.21055545	0.01232962	 0.87784135	0	 11.733241	  0.994666	  -11.200263	    2.330126	  1.73450162	  1.64759799	  1.82503906
Theia_123           	 540482434038846720	0	0	 0.426643318808869187	45.92381459	+67.2593162	    0.86531666	0.02609770	   -7.86416586	0.04204394	-2.4716e-01	   2.34108679	0.04175526	 1.03231900	0	 16.324398	  2.210600	            	            	  0.72029631	  0.70472168	  0.74377420
Theia_123           	 540508336985343744	0	0	 0.446349811072059788	44.00724985	+67.0326038	    1.44966706	0.28350836	   -8.02502033	0.44201025	-3.8175e-01	   2.33405396	0.43176750	 1.09449600	0	 20.011814	  2.878296	            	            	  0.32253203	  0.28941418	  0.34588236
Theia_123           	 540558678298027520	0	1	 0.511142556974478635	44.66800899	+67.5561593	    1.32933036	0.00912441	   -7.91788862	0.01504170	-3.3841e-01	   2.27725749	0.01491868	 1.02762770	0	 13.875113	  1.707287	   -7.367784	    2.237884	  1.11763128	  1.07731879	  1.15541232
Theia_123           	 540604681690370944	0	0	 0.493699188446553527	46.21214791	+67.7423833	    1.37656824	0.13271576	   -8.17401408	0.16566367	-4.3822e-01	   2.30952304	0.17367674	 0.96727480	0	 18.636591	  2.778194	            	            	  0.48400931	  0.46510044	  0.50190505
