#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-09-03T12:24:14 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-03T12:24:14	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/A%2BA/686/A42/members&-out.max=unlimited&-out=Name,GaiaDR3,inrj,inrt,Prob,RA_ICRS,DE_ICRS,pmRA,e_pmRA,pmDE,e_pmDE,pmRApmDECor,Plx,e_Plx,RUWE,NSS,Gmag,BP-RP,RV,e_RV,Mass50,Mass16,Mass84&Name=NGC_3532	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable

#RESOURCE=yCat_36860042
#Name: J/A+A/686/A42
#Title: Improving the open cluster census. III. (Hunt+, 2024)
#INFO	ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/a+a/686/a42	    IVOID of underlying data collection
#INFO	creator=Hunt E.L.	    First author or institution
#INFO	cites=bibcode:2024A&A...686A..42H	    Article or Data origin sources
#INFO	journal=A&A	    Journal name
#INFO	original_date=2024	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/A+A/686/A42	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.36860042	    Dataset identifier that can be used for citation
#INFO	publication_date=2024-11-21	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Coosys	H_2016.000:	ICRS
#Table	J_A_A_686_A42_members:
#Name: J/A+A/686/A42/members
#Title: Member stars of clusters (table 2)
#Column	Name	(a20)	Main accepted cluster name	[ucd=meta.id.parent]
#Column	GaiaDR3	(I19)	Gaia DR3 source ID	[ucd=meta.id;meta.main]
#Column	inrj	(I1)	[0/1] Flag indicating if cluster is within Jacobi radius (i.e. true tidal radius from cluster mass)	[ucd=meta.code]
#Column	inrt	(I1)	[0/1] Flag indicating if cluster is within estimated King (1962AJ.....67..471K) tidal radius based on cluster profile	[ucd=meta.code]
#Column	Prob	(F21.18)	[0/1] Membership probability	[ucd=stat.probability]
#Column	RA_ICRS	(F11.8)	Right ascension of star (ICRS) at Ep=2016.0	[ucd=pos.eq.ra;meta.main]
#Column	DE_ICRS	(F11.8)	Declination of star (ICRS) at Ep=2016.0	[ucd=pos.eq.dec;meta.main]
#Column	pmRA	(F14.8)	Mean proper motion in right ascension multiplied by cos(dec)	[ucd=pos.pm;pos.eq.ra]
#Column	e_pmRA	(F10.8)	Standard error of pmRA	[ucd=stat.error;pos.pm;pos.eq.ra]
#Column	pmDE	(F14.8)	Mean proper motion in declination	[ucd=pos.pm;pos.eq.dec]
#Column	e_pmDE	(F10.8)	Standard error of pmDE	[ucd=stat.error;pos.pm;pos.eq.dec]
#Column	pmRApmDECor	(E11.4)	Correlation between pmra and pmdec	[ucd=stat.correlation]
#Column	Plx	(F13.8)	Mean parallax	[ucd=pos.parallax;stat.mean]
#Column	e_Plx	(F10.8)	Standard error of parallax	[ucd=stat.error;pos.parallax]
#Column	RUWE	(F11.8)	Renormalised unit weight error	[ucd=stat.error]
#Column	NSS	(I1)	[0/6] Flag indicating source has additional information in the Gaia DR3 non single star tables	[ucd=meta.code]
#Column	Gmag	(F10.6)	Mean G-band magnitude	[ucd=phot.mag;em.opt]
#Column	BP-RP	(F10.6)	BP-RP colour	[ucd=phot.color;em.opt.B;em.opt.R]
#Column	RV	(F12.6)	? Mean Gaia DR3 radial velocity	[ucd=phys.veloc;pos.heliocentric]
#Column	e_RV	(F12.6)	? Standard error of radial velocity	[ucd=stat.error]
#Column	Mass50	(F12.8)	? 50th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass16	(F12.8)	? 16th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
#Column	Mass84	(F12.8)	? 84th percentile of stellar mass for this star, assuming star is single	[ucd=phys.mass]
Name	GaiaDR3	inrj	inrt	Prob	RA_ICRS	DE_ICRS	pmRA	e_pmRA	pmDE	e_pmDE	pmRApmDECor	Plx	e_Plx	RUWE	NSS	Gmag	BP-RP	RV	e_RV	Mass50	Mass16	Mass84
 	 	 	 	 	deg	deg	mas/yr	mas/yr	mas/yr	mas/yr	 	mas	mas	 	 	mag	mag	km/s	km/s	Msun	Msun	Msun
--------------------	-------------------	-	-	---------------------	-----------	-----------	--------------	----------	--------------	----------	-----------	-------------	----------	-----------	-	----------	----------	------------	------------	------------	------------	------------
NGC_3532            	5337322809013106944	1	0	 0.279657192713501535	166.8468371	-60.6245470	  -10.52679424	0.05015697	    5.29600559	0.04405011	-3.3881e-02	   2.19130793	0.04386485	 1.02826440	0	 16.669070	  2.329126	            	            	  0.62185307	  0.61461366	  0.63182510
NGC_3532            	5337459148441769472	1	0	 0.282886911758409410	168.7900810	-60.7153065	  -10.90186705	0.42566040	    5.18290813	0.33008710	-4.3881e-03	   2.12030047	0.35848948	 1.09036200	0	 19.816952	  2.732414	            	            	  0.30359547	  0.29597004	  0.32102308
NGC_3532            	5337467635309911936	1	0	 0.286108059539364634	168.9741900	-60.5480942	  -11.10311255	0.01659347	    5.04452330	0.01473405	 2.4063e-01	   2.17903418	0.01499492	 0.96102780	0	 14.238927	  1.116380	    1.935102	    5.961329	  0.90657329	  0.89013281	  0.91824923
NGC_3532            	5337520308802580736	1	0	 0.289091572139750785	170.6224901	-60.3695702	  -10.79846446	0.01899712	    4.25208977	0.01850006	 1.9805e-01	   2.10173041	0.01840212	 1.00643300	0	 14.842448	  1.277858	    5.459444	    4.830246	  0.81850732	  0.80295505	  0.82889138
NGC_3532            	5337535182216396416	1	0	 0.312406405759182049	170.2498763	-60.1544303	  -10.80034376	0.02653754	    4.92565087	0.02564764	 2.5163e-01	   2.12875991	0.02672186	 1.13060530	0	 15.031980	  1.371875	   -3.949103	    4.494501	  0.79283355	  0.77913433	  0.80247121
NGC_3532            	5337554354956315264	1	0	 0.296719003576074281	169.3852378	-60.4167637	  -10.78386570	0.23745532	    5.04255175	0.22146651	-7.2697e-02	   2.17824085	0.20950039	 2.28751700	0	 17.918040	  1.429281	            	            	  0.50289226	  0.49045402	  0.50954720
NGC_3532            	5337556077293950080	1	0	 0.320627559533151252	169.5186119	-60.3030615	  -10.38584821	0.11258307	    4.75271233	0.12739395	-1.7294e-02	   2.08300347	0.11563776	 3.25438210	0	 16.126175	  1.837579	            	            	  0.67499758	  0.66800848	  0.68623999
NGC_3532            	5337572123293176832	1	0	 0.358188226402948617	168.9240340	-60.2191501	  -10.75497583	0.01492980	    4.63603500	0.01350426	 1.7536e-01	   2.09585635	0.01280867	 0.98314700	0	 12.766313	  0.784330	    4.709514	    3.132164	  1.17567918	  1.15252565	  1.19483085
NGC_3532            	5337584767656661248	1	0	 0.358188226402948617	169.7563986	-60.1668884	  -10.82700278	0.09020428	    4.82881143	0.08013067	 1.3047e-01	   2.07350499	0.09056842	 1.03985950	0	 17.615509	  2.271305	            	            	  0.53025992	  0.52143041	  0.53861107
NGC_3532            	5337600710579338496	1	0	 0.397058493849973715	169.0220439	-59.9397821	  -10.58294054	0.26691723	    4.98025647	0.20721388	 2.0815e-02	   2.10692952	0.20957114	 1.06807410	0	 19.186403	  2.859062	            	            	  0.36976091	  0.36245595	  0.38308592
NGC_3532            	5337602355507090816	1	0	 0.322622011354149085	169.2725764	-59.9790463	  -10.64856958	0.10571239	    4.44774768	0.08329643	 1.0190e-01	   1.96962140	0.09198299	 1.00291590	0	 17.674976	  2.421034	            	            	  0.52492797	  0.51683116	  0.53320384
NGC_3532            	5337609060015087360	1	0	 0.395029724153860062	169.1008452	-59.7730086	  -10.53953721	0.06141138	    5.02615026	0.05570980	 2.4196e-01	   2.05916529	0.05715050	 1.03036120	0	 17.101370	  2.162317	            	            	  0.58008308	  0.57371329	  0.59263618
NGC_3532            	5337675919707515136	1	0	 0.350353944646993654	168.0435532	-60.1611128	  -10.05152126	0.10128014	    4.82914052	0.09013776	 1.9815e-01	   2.01529563	0.10219411	 1.04426740	0	 17.914797	  2.469856	            	            	  0.50324175	  0.49085631	  0.50988515
NGC_3532            	5337688735885299200	1	0	 0.287951303006070691	167.1504157	-60.4906766	  -10.12401533	0.05428272	    5.25727292	0.04887646	 6.3531e-02	   2.16113613	0.04976530	 0.94306800	0	 16.735697	  1.952748	            	            	  0.61571187	  0.60885728	  0.62614066
